Institution,Degrees,,Notes
"Carnegie Mellon University: School of Information Systems and Management, Heinz College",Information Systems Management,MISM,
"Carnegie Mellon University: School of Information Systems and Management, Heinz College",Information Security Policy & Management,MSISPM,
"Carnegie Mellon University: School of Information Systems and Management, Heinz College",Information Technology,MSIT,
"Carnegie Mellon University: School of Information Systems and Management, Heinz College",Doctoral Program,PhD,
Drexel University: College of Computing and Informatics,Computer Science,BS/BA,
Drexel University: College of Computing and Informatics,Software Engineering,BS,
Drexel University: College of Computing and Informatics,Informatics,BS,
Drexel University: College of Computing and Informatics,Information Systems,BS,
Drexel University: College of Computing and Informatics,Information Technology,BS,
Drexel University: College of Computing and Informatics,Computing & Security Technology,BS,
Drexel University: College of Computing and Informatics,Library & Information Science,MS,
Drexel University: College of Computing and Informatics,Computer Science,MSCS,
Drexel University: College of Computing and Informatics,Health Informatics,MSHI,
Drexel University: College of Computing and Informatics,Information Systems,MSIS,
Drexel University: College of Computing and Informatics,Software Engineering,MSSE,
Drexel University: College of Computing and Informatics,National Security Management,MSNSM,
Drexel University: College of Computing and Informatics,Cybersecurity,MSC,
Drexel University: College of Computing and Informatics,PhD Computer Science,PhD,
Drexel University: College of Computing and Informatics,PhD Information Studies,PhD,
Florida State University: College of Communication and Information,Information Technology,BSIT,"just School of Information, not communication"
Florida State University: College of Communication and Information,"Information, Communication and Technology",BSICT,"just School of Information, not communication"
Florida State University: College of Communication and Information,Library & Information Studies,MS,"just School of Information, not communication"
Florida State University: College of Communication and Information,Library & Information Studies - School Library Media,MS,"just School of Information, not communication"
Florida State University: College of Communication and Information,Information Technology,MS,"just School of Information, not communication"
Florida State University: College of Communication and Information,Arts Degree,MA,"just School of Information, not communication"
Florida State University: College of Communication and Information,Joint Juris Doctor / Masters of Science,JD/MS,"just School of Information, not communication"
Florida State University: College of Communication and Information,Information Studies,PhD,"just School of Information, not communication"
Georgia Institute of Technology: College of Computing,Computer Science,BS,
Georgia Institute of Technology: College of Computing,Computational Media,BA,
Georgia Institute of Technology: College of Computing,Analytics,MA,
Georgia Institute of Technology: College of Computing,Bioengineering,MS,
Georgia Institute of Technology: College of Computing,Computational Science & Engineering,MS,
Georgia Institute of Technology: College of Computing,Computer Science,MS,
Georgia Institute of Technology: College of Computing,Human-Computer Interaction,MS,
Georgia Institute of Technology: College of Computing,Information Security,MS,
Georgia Institute of Technology: College of Computing,"Algorithms, Combinatorics & Optimization",PhD,
Georgia Institute of Technology: College of Computing,Bioengineering,PhD,
Georgia Institute of Technology: College of Computing,Bioinformatics,PhD,
Georgia Institute of Technology: College of Computing,Computational Science & Engineering,PhD,
Georgia Institute of Technology: College of Computing,Computer Science,PhD,
Georgia Institute of Technology: College of Computing,Human-Computer Interaction,PhD,
Georgia Institute of Technology: College of Computing,Robotics,PhD,
