Journal,Count,Discipline
American Anthropologist,1,Social Sciences
Gastronomica,1,Social Sciences
Archivaria,3,Archives
Journal of Archival Organization,1,Archives
The American Archivist,2,Archives
AAAI,1,Computer Science
ACM SIGIR Forum,1,Computer Science
ACM SIGMOD Record,1,Computer Science
ACM Transactions on Computing Education,1,Computer Science
ACM Transactions on Information Systems,1,Computer Science
Communications of the ACM,10,Computer Science
Computer,3,Computer Science
Computer Networks,1,Computer Science
IEEE Computer,1,Computer Science
IEEE Internet Computing,1,Computer Science
IEEE Spectrum,1,Computer Science
IEEE/ACM Trans. Netw,1,Computer Science
New Generation Computing,3,Computer Science
SIGCOMM Computer Communication Review,1,Computer Science
Synthesis Lectures on Human Language Technologies,1,Computer Science
"Economica, NS",1,Social Sciences
Information Economics & Policy,1,Social Sciences
Quarterly Journal of Economics,1,Social Sciences
The American Economic Review,1,Social Sciences
The Economic Journal,1,Social Sciences
The Economist,1,Social Sciences
Computers & Education,1,Social Sciences
Continuing Higher Education Review,1,Social Sciences
EDUCAUSE Review,1,Social Sciences
Harvard Educational Review,1,Social Sciences
International Journal of Qualitative Studies in Education,1,Social Sciences
Journal of Education and Work,1,Social Sciences
Journal of Educational Computing Research,1,Social Sciences
Journal of Interactive Media in Education,1,Social Sciences
Review of Educational Research,1,Social Sciences
Technical Communication Quarterly,1,Social Sciences
Theory into Practice,2,Social Sciences
8th Information Architecture Summit,1,HCI
ACM Transactions on Computer-Human Interaction,4,HCI
AIGA Journal of Design for the Network Economy,1,HCI
Artifact,1,HCI
Behaviour and Information Technology,1,HCI
CHI,3,HCI
CoDesign,1,HCI
Computer Supported Cooperative Work,3,HCI
Design,1,HCI
Design Issues,1,HCI
DIS '06 Proceedings of the 6th conference on Designing Interactive systems,1,HCI
Human Communication Research,1,HCI
Human Factors: The Journal of the Human Factors and Ergonomics Society,1,HCI
Human Technology: An Interdisciplinary Journal on Humans in ICT Environments,1,HCI
Human-Computer Interaction,5,HCI
IEEE Pervasive Computing,1,HCI
IJAHUC,1,HCI
Information & Behavior,2,HCI
Information Technologies and International Development,2,HCI
Information Visualization,2,HCI
Interacting with Computers,1,HCI
Interactions,18,HCI
International Journal of Human-Computer Interaction,1,HCI
International Journal of Human-Computer Studies,3,HCI
International Journal of Human­-Computer Studies,1,HCI
International Journal of Human­Computer Interaction,1,HCI
International Journal of Technology and Human Interaction,1,HCI
Journal of information architecture,1,HCI
Mobile Computing and Communications Review,1,HCI
Personal and Ubiquitous Computing,4,HCI
"Ubicomp 2006, Lecture Notes in Computer Science",1,HCI
Annals of the History of Computing,2,Humanities
Comparative Studies in Society and History,1,Humanities
Critical Inquiry,1,Humanities
Daedalus,1,Humanities
Digital Humanities Quarterly,2,Humanities
Feminist Studies,1,Humanities
History & Memory,1,Humanities
International Journal of Cultural Studies,1,Humanities
Journal of Cultural Economy,1,Humanities
Journal of the History of Ideas,1,Humanities
Literary and Linguistic Computing,1,Humanities
Social Studies of Science,1,Humanities
Social Text,1,Humanities
Technology & Culture,1,Humanities
TEXT Technology,1,Humanities
Annual Review of Information Science & Technology,1,Humanities
ASIS&T,1,Humanities
Aslib Proceedings,1,Humanities
Bulletin of Science Technology Society,1,Humanities
Bulletin of the American Society for Information Science & Technology,2,Humanities
Canadian Journal of Information Science,1,Humanities
Communications of the Association for Information Systems,3,Humanities
Ethics and Information Technology,3,Humanities
Government Information Quarterly,1,Humanities
iConference,1,Humanities
Information Processing & Management,20,Humanities
Information Research,9,Humanities
Information Retrieval,1,Humanities
Information Standards Quarterly,1,Humanities
Information Systems Management,1,Humanities
Information Systems Research,1,Humanities
Information Today for the American Society for Information Science,1,Humanities
Informing Science,2,Humanities
International Journal on Semantic Web & Information Systems,1,Humanities
Journal of Digital Information,3,Humanities
Journal of Documentation,28,Humanities
Journal of Engineering and Technology Management,1,Humanities
Journal of Government Information,1,Humanities
Journal of Information Ethics,1,Humanities
Journal of Information Policy,1,Humanities
Journal of Information Science,17,Humanities
Journal of Information Technology,1,Humanities
Journal of Knowledge Management,1,Humanities
Journal of the American Society for Information Science,37,Humanities
Journal of the American Society for Information Science & Technology,57,Humanities
Online,4,Humanities
Proceedings of the 4th decennial conference on Critical computing: between sense and sensibility,1,Humanities
Proceedings of the American Society of Information Science & Technology,1,Humanities
Progress in Communication Sciences,1,Humanities
Scandinavian Journal of Information Systems,1,Humanities
Scientometrics,1,Humanities
The Indexer,3,Humanities
The Tenth Americas Conference on Information Systems,1,Humanities
AALL Spectrum,1,Humanities
Computer Law & Security Report,1,Humanities
Duke Law Journal,1,Humanities
Harvard Law Review,2,Humanities
Journal of Constitutional Law,1,Humanities
Michigan Law Review,1,Humanities
Yale Law Journal,1,Humanities
Yale Law Review,1,Humanities
American Libraries,2,LIS
Annual Review of Library and Information Science,1,LIS
Arkansas Libraries,1,LIS
ARL Bimonthly Report,1,LIS
Association for Library and Information Science Education,2,LIS
Australian Academic & Research Libraries,2,LIS
Bottom Line: Managing Library Finances,2,LIS
Cataloging & Classification Quarterly,13,LIS
CATS: The IATEFL Young Learners SIG journal,1,LIS
Choice July/August,1,LIS
Collection Building,1,LIS
College & Research,1,LIS
College & Research Libraries,18,LIS
College & Research Libraries News,3,LIS
College & Undergraduate Libraries,1,LIS
Computers in Libraries,1,LIS
Conference on Theory and Practice of Digital Libraries,1,LIS
D-Lib,1,LIS
D-Lib Magazine,7,LIS
DESIDOC Journal of Library & Information Technology,1,LIS
DeweyBrowser. Cataloging & Classification Quarterly,1,LIS
D­Lib Magazine,3,LIS
Document Numėrique,1,LIS
Drexel Library Quarterly,1,LIS
Electronic Journal of Academic and Special Librarianship,2,LIS
Electronic Library,2,LIS
Evidence Based Library and Information Practice,2,LIS
Feliciter,1,LIS
IFLA Council and General Conference,1,LIS
IFLA Journal,3,LIS
ILA Reporter,1,LIS
Info Culture,1,LIS
Information & Culture,1,LIS
Information Outlook,3,LIS
Information Technology & Libraries,9,LIS
Internet Reference Services Quarterly,1,LIS
Joint Conference on Digital Libraries,1,LIS
Journal of Academic Librarianship,13,LIS
Journal of Access Services,1,LIS
"Journal of Interlibrary Loan, Document Delivery & Electronic Reserve",1,LIS
Journal of Library Administration,14,LIS
Journal of Library Innovation,1,LIS
Journal of Library Metadata,3,LIS
Journal of Map And Geography Libraries,1,LIS
Journal of Web Librarianship,3,LIS
Leader to Leader,2,LIS
Libraries & Culture,1,LIS
Libraries & the Cultural Record,1,LIS
Libraries and the Academy,1,LIS
Library & Information Science Research,11,LIS
Library Administration & Management,8,LIS
Library Hi Tech,6,LIS
Library Hi­ Tech,2,LIS
Library Journal,5,LIS
Library Leadership & Management,3,LIS
Library Philosophy and Practice,3,LIS
Library Quarterly,3,LIS
Library Resources & Technical Services,7,LIS
Library Review,2,LIS
Library Technology Reports,1,LIS
Library Trends,21,LIS
Libri: International Journal of Libraries & Information Services,1,LIS
LQ,1,LIS
New Library World,1,LIS
Online Review,4,LIS
Outline,1,LIS
Partnership: The Canadian Journal of Library & Information Practice & Research,3,LIS
Portal: Libraries and the Academy,4,LIS
Public Libraries,4,LIS
Public Library Quarterly,3,LIS
Reference & User Services Quarterly,8,LIS
Reference Services Review,3,LIS
"Research on Information Seeking, Needs, and Behavior",1,LIS
RQ,3,LIS
School Library Journal,2,LIS
School Library Media Research,1,LIS
Serials Review,2,LIS
Southeast Librarian,1,LIS
Special Libraries,1,LIS
Teacher Librarian,1,LIS
Technical Services Quarterly,2,LIS
The Bottom Line,1,LIS
The Reference Librarian,4,LIS
Academy of Management Journal,1,Management
Business & Society Review,1,Management
Business Education & Administration,1,Management
CIO,1,Management
Construction Management and Economics,1,Management
Electronic Journal of Business Ethics and Organization Studies,1,Management
Financial Management,1,Management
Forbes,1,Management
Harvard Business Review,19,Management
Information and Organization,2,Management
Information Technology & People,3,Management
Journal of Change Management,1,Management
Journal of Database Marketing & Customer Strategy Management,1,Management
Journal of Management Studies,2,Management
Journal of Organizational Behavior,1,Management
Journal of Public Administration Research and Theory,1,Management
Knowledge Organization,2,Management
Leadership and Organizational Development Journal,1,Management
Management Science,1,Management
Management Services,1,Management
Manager,1,Management
MIS Quarterly,4,Management
Nonprofit Management & Leadership,1,Management
Omega,1,Management
Organization,1,Management
Organization Science,3,Management
Project Management Journal,2,Management
Public Administration Review,1,Management
Schmalenbach Business Review,1,Management
Strategic Finance,1,Management
Strategy and Leadership,1,Management
Supervision,1,Management
The Academy of Management Review,1,Management
The Leadership Quarterly,1,Management
￼Advances in Health Care Management,1,Science
American Journal of Preventive Medicine,1,Science
Annals of Family Medicine,1,Science
Annals of Internal Medicine,2,Science
British Medical Journal,2,Science
Family Medicine,1,Science
Journal of Medical Internet Research,1,Science
Journal of the American Medical Informatics Association,4,Science
Journal of the Medical Library Association,1,Science
Medical Reference Services Quarterly,1,Science
"Information, Communication & Society",2,Science
Journal of Computer-Mediated Communication,2,Science
Journal of Mass Media Ethics,1,Science
"Media, Culture, & Society",2,Science
New Media & Society,4,Science
New Review of Hypermedia and Multimedia,1,Science
The Information Society,5,Science
"Theory, Culture, and Society",1,Science
American National Standards Institute,1,Misc
Electronic Book Review,1,Misc
Employment Relations Today,1,Misc
Ethics Shareware,1,Misc
First Monday,6,Misc
FTC File No,1,Misc
Global Networks,1,Misc
Human Resource Planning,1,Misc
Information Resources Report,1,Misc
journal,1,Misc
Journal of Electronic Publishing,2,Misc
Journal of International Affairs,1,Misc
PDC 2006 Conference,1,Misc
Perspectives,1,Misc
Plagiary,1,Misc
Quality & Quantity,1,Misc
Small Wars & Insurgencies,1,Misc
Telecommunications Policy,1,Misc
The Antioch Review,1,Misc
The Moving Image,1,Misc
The Receivables Report,1,Misc
The Services Industries Journal,1,Misc
"UNC Institutional Review Board, ",1,Misc
Variogr.am,1,Misc
Visual Resources Association Bulletin,1,Misc
VRA Bulletin,1,Misc
VRA Bulletin. Spring,1,Misc
American Scientist,1,News
Byte,1,News
Fast Company Magazine,2,News
Frankfurter Allgemeine,1,News
Los Angeles Times,1,News
MIT Technology Review. Oct,1,News
New York Times,7,News
News & Observer,1,News
Scince News Online,1,News
Searcher,6,News
Smashing Magazine,1,News
Technology Review,1,News
The Atlantic Monthly,1,News
The Chronicle of Higher Education,1,News
The New York Review of Books,1,News
The New Yorker,1,News
The Rational Edge,3,News
Utne,1,News
Wall Street Journal,3,News
Washington Post,1,News
Wired,2,News
Wired Magazine,1,News
American Behavioral Scientist,3,Social Sciences
American Psychologist,6,Social Sciences
Annual Review of Psychology,1,Social Sciences
Cognitive Science,1,Social Sciences
Decision Sciences,1,Social Sciences
Decision Support Systems,1,Social Sciences
Expert Syst. Appl,1,Social Sciences
Journal of Applied Psychology,1,Social Sciences
Psychological Bulletin,1,Social Sciences
Psychological Review,2,Social Sciences
Psychological Science,1,Social Sciences
Revue européene de psychologie appliqué,1,Social Sciences
Trends in Cognitive Sciences,1,Social Sciences
American Association for the Advancement of Science,1,Science
Nature,3,Science
PLoS ONE,1,Science
Science,5,Science
Scientific American,10,Science
Annual Review of Sociology,2,Social Sciences
British Journal of Sociology,1,Social Sciences
International Social Science Journal,1,Social Sciences
Qualitative Sociology,1,Social Sciences
Social Networks,1,Social Sciences
Sociological Forum,1,Social Sciences
Statistical Science,1,Social Sciences
The Annals of Statistics,1,Social Sciences
Axiomathes,1,Social Sciences
"Science, Technology & Human Values",4,Social Sciences
