course,Archives,Computer Science,HCI,Humanities,Information Science,LIS,Law,Management,Misc,News,Science,Social Sciences
berkeley-info202,0.0,21.428571428571427,0.0,0.0,7.142857142857142,0.0,0.0,7.142857142857142,0.0,42.857142857142854,14.285714285714285,7.142857142857142
berkeley-info203,0.0,4.761904761904762,14.285714285714285,19.047619047619047,0.0,0.0,4.761904761904762,4.761904761904762,4.761904761904762,19.047619047619047,4.761904761904762,23.809523809523807
berkeley-info205,0.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,20.0,20.0,0.0,0.0
berkeley-info206,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drexel-info520,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
drexel-info521,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
drexel-info522,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
drexel-info640,0.0,0.0,0.0,0.0,9.090909090909092,63.63636363636363,0.0,27.27272727272727,0.0,0.0,0.0,0.0
florida-lis5411,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
florida-lis5703,0.0,0.0,0.0,0.0,11.11111111111111,77.77777777777779,11.11111111111111,0.0,0.0,0.0,0.0,0.0
georgiatech-cs6750,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0
illinois-lis501,0.0,1.5873015873015872,0.0,3.1746031746031744,22.22222222222222,66.66666666666666,0.0,0.0,1.5873015873015872,4.761904761904762,0.0,0.0
indiana-z501,0.0,0.0,6.25,0.0,12.5,68.75,0.0,6.25,0.0,0.0,0.0,6.25
indiana-z503,0.0,12.244897959183673,4.081632653061225,0.0,32.6530612244898,24.489795918367346,0.0,8.16326530612245,2.0408163265306123,8.16326530612245,2.0408163265306123,6.122448979591836
indiana-z510,0.0,1.2195121951219512,13.414634146341465,0.0,52.4390243902439,4.878048780487805,0.0,20.73170731707317,2.4390243902439024,0.0,3.6585365853658534,1.2195121951219512
irvine-in4matx231,0.0,0.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,14.285714285714285,0.0
irvine-in4matx241,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
irvine-in4matx261,0.0,6.25,25.0,31.25,0.0,0.0,12.5,12.5,6.25,0.0,0.0,6.25
maryland-infm600,0.0,0.0,10.526315789473683,5.263157894736842,15.789473684210526,0.0,0.0,52.63157894736842,5.263157894736842,0.0,5.263157894736842,5.263157894736842
maryland-inst631,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maryland-inst632,0.0,0.0,77.77777777777779,0.0,0.0,16.666666666666664,0.0,0.0,0.0,5.555555555555555,0.0,0.0
maryland-lbsc602,0.0,2.7777777777777777,5.555555555555555,0.0,30.555555555555557,47.22222222222222,0.0,2.7777777777777777,0.0,5.555555555555555,5.555555555555555,0.0
maryland-lbsc631,2.631578947368421,0.0,0.0,0.0,0.0,92.10526315789474,0.0,5.263157894736842,0.0,0.0,0.0,0.0
maryland-lbsc671,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,0.0
michigan-si500,0.0,0.0,0.0,0.0,42.857142857142854,14.285714285714285,0.0,0.0,14.285714285714285,0.0,14.285714285714285,14.285714285714285
michigan-si501,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,25.0
michigan-si502,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
north-carolina-inls500,1.1235955056179776,3.3707865168539324,2.247191011235955,2.247191011235955,58.42696629213483,23.595505617977526,0.0,0.0,1.1235955056179776,1.1235955056179776,4.49438202247191,2.247191011235955
north-carolina-inls501,0.0,0.0,0.0,0.0,6.25,87.5,0.0,0.0,0.0,0.0,6.25,0.0
north-carolina-inls513,0.0,0.0,0.0,0.0,7.142857142857142,85.71428571428571,0.0,0.0,0.0,7.142857142857142,0.0,0.0
north-carolina-inls520,5.0,0.0,0.0,5.0,15.0,35.0,0.0,5.0,30.0,0.0,0.0,5.0
north-carolina-inls560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
north-carolina-inls581,0.0,0.0,0.0,0.0,0.0,21.052631578947366,0.0,5.263157894736842,0.0,15.789473684210526,10.526315789473683,47.368421052631575
north-carolina-inls582,0.0,0.0,26.666666666666668,0.0,26.666666666666668,6.666666666666667,0.0,0.0,0.0,26.666666666666668,13.333333333333334,0.0
north-carolina-inls585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
north-carolina-inls781,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
rutgers-510,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
rutgers-520,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rutgers-530,0.0,0.0,0.0,0.0,53.57142857142857,32.142857142857146,0.0,0.0,0.0,10.714285714285714,3.571428571428571,0.0
rutgers-570,0.0,2.7777777777777777,0.0,0.0,0.0,41.66666666666667,0.0,30.555555555555557,11.11111111111111,5.555555555555555,0.0,8.333333333333332
rutgers-580,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,12.5,0.0,0.0,37.5
syracuse-ist601,0.0,0.0,0.0,0.0,5.88235294117647,47.05882352941176,5.88235294117647,23.52941176470588,0.0,5.88235294117647,5.88235294117647,5.88235294117647
texas-inf380,9.75609756097561,2.4390243902439024,4.878048780487805,21.951219512195124,14.634146341463413,14.634146341463413,0.0,7.317073170731707,2.4390243902439024,2.4390243902439024,2.4390243902439024,17.073170731707318
texas-inf397,0.0,0.0,5.555555555555555,13.88888888888889,33.33333333333333,5.555555555555555,0.0,8.333333333333332,2.7777777777777777,2.7777777777777777,8.333333333333332,19.444444444444446
ucla-is200,0.0,8.333333333333332,0.0,50.0,8.333333333333332,16.666666666666664,0.0,0.0,0.0,8.333333333333332,8.333333333333332,0.0
ucla-is245,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucla-is260,3.571428571428571,10.714285714285714,0.0,0.0,10.714285714285714,50.0,0.0,0.0,10.714285714285714,14.285714285714285,0.0,0.0
ucla-is270,0.0,14.705882352941178,11.76470588235294,5.88235294117647,8.823529411764707,8.823529411764707,5.88235294117647,0.0,2.941176470588235,5.88235294117647,17.647058823529413,17.647058823529413
