discipline,course,school,program,aggregates
cs,berkeley-info202,Berkeley,MIMS,Computer Science
news,berkeley-info202,Berkeley,MIMS,News
psych,berkeley-info202,Berkeley,MIMS,Social Sciences
med,berkeley-info202,Berkeley,MIMS,Science
cs,berkeley-info202,Berkeley,MIMS,Computer Science
is,berkeley-info202,Berkeley,MIMS,Information Science
cs,berkeley-info202,Berkeley,MIMS,Computer Science
man,berkeley-info202,Berkeley,MIMS,Management
science,berkeley-info202,Berkeley,MIMS,Science
news,berkeley-info202,Berkeley,MIMS,News
news,berkeley-info202,Berkeley,MIMS,News
news,berkeley-info202,Berkeley,MIMS,News
news,berkeley-info202,Berkeley,MIMS,News
news,berkeley-info202,Berkeley,MIMS,News
man,berkeley-info203,Berkeley,MIMS,Management
law,berkeley-info203,Berkeley,MIMS,Law
hci,berkeley-info203,Berkeley,MIMS,HCI
hum,berkeley-info203,Berkeley,MIMS,Humanities
eco,berkeley-info203,Berkeley,MIMS,Social Sciences
cs,berkeley-info203,Berkeley,MIMS,Computer Science
sts,berkeley-info203,Berkeley,MIMS,Social Sciences
hum,berkeley-info203,Berkeley,MIMS,Humanities
misc,berkeley-info203,Berkeley,MIMS,Misc
hci,berkeley-info203,Berkeley,MIMS,HCI
hum,berkeley-info203,Berkeley,MIMS,Humanities
news,berkeley-info203,Berkeley,MIMS,News
hci,berkeley-info203,Berkeley,MIMS,HCI
eco,berkeley-info203,Berkeley,MIMS,Social Sciences
eco,berkeley-info203,Berkeley,MIMS,Social Sciences
science,berkeley-info203,Berkeley,MIMS,Science
ed,berkeley-info203,Berkeley,MIMS,Social Sciences
hum,berkeley-info203,Berkeley,MIMS,Humanities
news,berkeley-info203,Berkeley,MIMS,News
news,berkeley-info203,Berkeley,MIMS,News
news,berkeley-info203,Berkeley,MIMS,News
law,berkeley-info205,Berkeley,MIMS,Law
law,berkeley-info205,Berkeley,MIMS,Law
news,berkeley-info205,Berkeley,MIMS,News
cs,berkeley-info205,Berkeley,MIMS,Computer Science
misc,berkeley-info205,Berkeley,MIMS,Misc
cs,berkeley-info206,Berkeley,MIMS,Computer Science
lis,drexel-info520,Drexel,MSLIS,LIS
lis,drexel-info520,Drexel,MSLIS,LIS
