school-program,Archives,Computer Science,HCI,Humanities,Information Science,LIS,Law,Management,Misc,News,Science,Social Sciences
Berkeley-MIMS,0.0,14.634146341463413,7.317073170731707,9.75609756097561,2.4390243902439024,0.0,7.317073170731707,4.878048780487805,4.878048780487805,26.82926829268293,7.317073170731707,14.634146341463413
Drexel-MSLIS,0.0,0.0,0.0,0.0,11.76470588235294,70.58823529411765,0.0,17.647058823529413,0.0,0.0,0.0,0.0
Florida State-MSLIS,0.0,0.0,0.0,0.0,20.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0
Georgia Tech-MSHCI,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0
Indiana-MIS,0.0,1.2195121951219512,13.414634146341465,0.0,52.4390243902439,4.878048780487805,0.0,20.73170731707317,2.4390243902439024,0.0,3.6585365853658534,1.2195121951219512
Indiana-MLS,0.0,9.230769230769232,4.615384615384616,0.0,27.692307692307693,35.38461538461539,0.0,7.6923076923076925,1.5384615384615385,6.153846153846154,1.5384615384615385,6.153846153846154
Irvine-MSICS,0.0,3.0303030303030303,48.484848484848484,15.151515151515152,0.0,0.0,6.0606060606060606,6.0606060606060606,3.0303030303030303,9.090909090909092,3.0303030303030303,6.0606060606060606
Maryland-MIM,0.0,0.0,10.526315789473683,5.263157894736842,15.789473684210526,0.0,0.0,52.63157894736842,5.263157894736842,0.0,5.263157894736842,5.263157894736842
Maryland-MLS,1.2987012987012987,1.2987012987012987,2.5974025974025974,0.0,15.584415584415584,68.83116883116884,0.0,3.896103896103896,0.0,2.5974025974025974,3.896103896103896,0.0
Maryland-MSHCI,0.0,0.0,78.94736842105263,0.0,0.0,15.789473684210526,0.0,0.0,0.0,5.263157894736842,0.0,0.0
Michigan-MSI,0.0,0.0,0.0,0.0,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,8.333333333333332,8.333333333333332,16.666666666666664
North Carolina-MSIS,1.7857142857142856,0.0,7.142857142857142,1.7857142857142856,12.5,21.428571428571427,0.0,3.571428571428571,10.714285714285714,12.5,8.928571428571429,19.642857142857142
North Carolina-MSLS,1.2422360248447204,1.8633540372670807,1.2422360248447204,1.8633540372670807,36.024844720496894,36.024844720496894,0.0,1.8633540372670807,4.3478260869565215,3.1055900621118013,4.3478260869565215,8.074534161490684
Rutgers-MI,0.0,1.0526315789473684,0.0,2.1052631578947367,33.68421052631579,33.68421052631579,0.0,11.578947368421053,5.263157894736842,5.263157894736842,1.0526315789473684,6.315789473684211
Syracuse-MSLIS,0.0,0.0,0.0,0.0,5.88235294117647,47.05882352941176,5.88235294117647,23.52941176470588,0.0,5.88235294117647,5.88235294117647,5.88235294117647
Texas Austin-MSIS,5.194805194805195,1.2987012987012987,5.194805194805195,18.181818181818183,23.376623376623375,10.38961038961039,0.0,7.792207792207792,2.5974025974025974,2.5974025974025974,5.194805194805195,18.181818181818183
UCLA-MLIS,1.3333333333333335,12.0,5.333333333333334,10.666666666666668,10.666666666666668,25.333333333333336,2.666666666666667,0.0,5.333333333333334,9.333333333333334,9.333333333333334,8.0
UIUC-MSLIS,0.0,1.5873015873015872,0.0,3.1746031746031744,22.22222222222222,66.66666666666666,0.0,0.0,1.5873015873015872,4.761904761904762,0.0,0.0
